nom_produit,marque_actuellement_proposee,code_barres,prix_public,stock,raison_ambiguite,proposition_marque,niveau_confiance
BIO BALANCE HC CICA VISAGE LAIT 250ML,(vide),000032955,10017.00,1.00,préfixe « Bio Balance » (voir #032412),Bio Balance,Moyenne
BIO BALANCE CR SUP GLOW 3-0 ETHYLASC 5%+ACIDF1%,(vide),000032443,13700.00,1.00,préfixe « Bio Balance » (voir #032412),Bio Balance,Moyenne
BIO BALANCE CR YEUX SUP HD AUCOLAGEN& VIT C20ML,(vide),000032442,12600.00,1.00,préfixe « Bio Balance » (voir #032412),Bio Balance,Moyenne
BIO BALANCE SS ACID HYALURONIQ MULTI MOLECUL 30ML,(vide),000032444,10700.00,1.00,préfixe « Bio Balance » (voir #032412),Bio Balance,Moyenne
FLEUR DE BAIN GM,(vide),000027782,1250.00,2.00,« Fleur de Bain » ressemble à un nom de produit générique (accessoire de bain) plutôt qu'à une marque commerciale ; aucun autre produit de la liste ne partage ce préfixe,Sans marque (accessoire générique),Faible
HUILE BAOBAB BASSARI F50ML,(vide),000021355,4150.00,23.00,"« Bassari » pourrait être un nom de marque locale (référence à l'ethnie/région Bassari, Sénégal) ou une simple mention d'origine du produit ; occurrence unique",Bassari,Faible
LAIT VALDA HUILE DE BAOBAB F/250ML,(vide),000022767,1960.00,1.00,"« Valda » apparaît au 2e mot du nom (« LAIT VALDA HUILE... ») au lieu du 1er — l'heuristique base sa détection sur le 1er mot et a donc raté ce produit, alors que « Valda » est déjà une marque validée ailleurs (1 produit : VALDA LAIT ADOUC BEURRE DE KARITE)",Valda,Élevée
RELAX PATCH DOULEUR MENSTRUEL BT3,(vide),000033190,3460.00,2.00,"« Relax » pourrait être un nom de marque ou un simple descriptif du produit (« patch relaxant ») ; occurrence unique, aucun autre indice",Relax (à vérifier),Faible
PETIT OL CHVX SECS OLIV/KAR/ARG SH250ML,(vide),000032775,4800.00,1.00,"« PETIT OL » est probablement une abréviation de « Petit Olivier », marque capillaire/corps connue (gamme huile olive/karité/argan cohérente avec ce produit) ; l'heuristique n'a pas reconnu l'abréviation",Petit Olivier,Moyenne
PARA SPRAY ENVIRONN POUX 250ML,(vide),000031773,8932.00,1.00,"« PARA » est un préfixe générique (« anti-parasitaire ») plutôt qu'une marque ; le même rayon/usage anti-poux existe déjà sous la marque Parasidose (Gilbert Parasidose peigne, Parasidose soin traitant) — lien possible mais non certain",Parasidose (à vérifier),Faible
SAVON DE MARSEILLE AMANDE DOUCE 4 X 200GRS,(vide),000031357,2950.00,2.00,"« Savon de Marseille » est une appellation générique de type de savon (procédé de fabrication), pas une marque déposée unique — plusieurs fabricants utilisent ce nom",Sans marque (savon de Marseille générique),Faible
SAVON DE MARSEILLE GLYCERINE 4 X 200 GRS,(vide),000031358,2950.00,2.00,« Savon de Marseille » — même remarque que #031357 (appellation générique),Sans marque (savon de Marseille générique),Faible
SAVON PETIT MARSEILLE OLIVE 4X100G,(vide),000031360,2950.00,3.00,« Savon Petit Marseille » — variante du même type de savon générique,Sans marque (savon de Marseille générique),Faible
PARFUM BABY COLOGNE,(vide),000031162,1650.00,1.00,"« PARFUM BABY COLOGNE » est un nom descriptif de produit plutôt qu'une marque ; la marque Babymed propose déjà une eau de Cologne (BABYMED EAU DE COLOGNE 500ML) dans le catalogue, lien plausible mais non explicite dans ce nom",Babymed (à vérifier),Faible
